,date,expName,psychopyVersion,OS,frameRate,idm_task,item,cdd_trial_type,cdd_conf_resp.keys,cdd_conf_resp.rt,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait,cdd_choice,cdd_choice2,cdd_trial_resp.keys,cdd_trial_resp.corr,cdd_trial_resp.rt,cdd_delta_time,cdd_iti_time,cdd_trials1.thisTrialN,cdd_trials1.thisIndex,cdd_catch_trial,cdd_bonus_choice,cdd_bonus_amount,cdd_bonus_delay
961,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,64.0,task,4.0,0.4721,5.0,0.0,3.0,4.0,0.0,immed,2.0,1.0,0.1298,1.8702,2.164559874,18.0,63.0,1.0,,,
962,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,45.0,task,4.0,0.515,5.0,0.0,26.0,29.0,1.0,delay,1.0,0.0,0.006,1.994,3.681170816,19.0,44.0,0.0,,,
963,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,72.0,task,4.0,1.1866,2.0,0.0,23.0,10.0,1.0,delay,2.0,0.0,0.0805,1.9195,3.332959374,20.0,71.0,0.0,,,
964,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,9.0,task,4.0,0.4293,15.0,0.0,25.0,10.0,1.0,delay,1.0,0.0,0.0071,1.9929,2.834824603,21.0,8.0,0.0,,,
965,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,13.0,task,4.0,0.9244,15.0,0.0,34.0,60.0,0.0,immed,2.0,1.0,0.0074,1.9926,3.091081265,22.0,12.0,0.0,,,
966,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,50.0,task,4.0,0.6186,5.0,0.0,24.0,60.0,1.0,delay,2.0,0.0,0.0809,1.9191,3.752093601,23.0,49.0,0.0,,,
967,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,30.0,task,4.0,0.507,15.0,0.0,65.0,151.0,0.0,immed,1.0,1.0,0.0831,1.9169,2.250121419,24.0,29.0,0.0,,,
968,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,58.0,task,4.0,1.2713,5.0,0.0,10.0,149.0,0.0,immed,2.0,1.0,0.0806,1.9194,3.696689642,25.0,57.0,0.0,,,
969,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,95.0,task,4.0,0.5046,2.0,0.0,2.0,89.0,0.0,immed,1.0,1.0,0.0426,1.9574,2.924435521,26.0,94.0,1.0,,,
970,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,81.0,task,4.0,0.5819,2.0,0.0,11.0,60.0,0.0,immed,1.0,1.0,0.1157,1.8843,2.898987429,27.0,80.0,0.0,,,
971,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,71.0,task,4.0,0.3886,2.0,0.0,12.0,11.0,1.0,delay,1.0,0.0,0.1166,1.8834,2.277831473,28.0,70.0,0.0,,,
972,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,49.0,task,4.0,1.0825,5.0,0.0,14.0,61.0,0.0,immed,2.0,1.0,0.1887,1.8113,1.818077125,29.0,48.0,0.0,,,
973,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,77.0,task,4.0,1.5024,2.0,0.0,23.0,31.0,1.0,delay,1.0,0.0,0.0426,1.9574,3.217783264,30.0,76.0,0.0,,,
974,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,86.0,task,4.0,0.3887,2.0,0.0,12.0,90.0,0.0,immed,2.0,1.0,0.0787,1.9213,3.825333117,31.0,85.0,0.0,,,
975,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,93.0,task,4.0,0.3548,2.0,0.0,41.0,149.0,1.0,delay,1.0,0.0,0.1231,1.8769,1.882359675,32.0,92.0,0.0,,,
976,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,61.0,task,4.0,0.3511,5.0,0.0,44.0,152.0,1.0,delay,2.0,0.0,0.0794,1.9206,2.09139525,33.0,60.0,0.0,,,
977,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,67.0,task,4.0,0.7878,2.0,0.0,22.0,5.0,1.0,delay,1.0,0.0,0.0081,1.9919,2.922610567,34.0,66.0,0.0,,,
978,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,85.0,task,4.0,0.5461,2.0,0.0,6.0,90.0,0.0,immed,2.0,1.0,0.0073,1.9927,2.482957259,35.0,84.0,0.0,,,
979,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,8.0,task,4.0,0.3897,15.0,0.0,24.0,150.0,0.0,immed,2.0,1.0,0.1155,1.8845,3.457098557,36.0,7.0,0.0,,,
980,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,33.0,task,4.0,0.542,5.0,0.0,10.0,4.0,1.0,delay,1.0,0.0,0.1154,1.8846,2.751945525,37.0,32.0,0.0,,,
981,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,23.0,task,4.0,0.8029,15.0,0.0,55.0,90.0,0.0,immed,1.0,1.0,0.0436,1.9564,2.116314017,38.0,22.0,0.0,,,
982,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,38.0,task,4.0,0.3544,5.0,0.0,10.0,11.0,1.0,delay,2.0,0.0,0.1521,1.8479,3.765007534,39.0,37.0,0.0,,,
983,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,39.0,task,4.0,0.8556,5.0,0.0,15.0,9.0,1.0,delay,2.0,0.0,0.0435,1.9565,2.97917842,40.0,38.0,0.0,,,
984,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,2.0,task,4.0,0.3542,15.0,0.0,20.0,5.0,1.0,delay,2.0,0.0,0.0432,1.9568,3.0901605,41.0,1.0,0.0,,,
985,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,10.0,task,4.0,0.4304,15.0,0.0,25.0,29.0,1.0,delay,1.0,0.0,0.007,1.993,3.37115981,42.0,9.0,0.0,,,
986,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,48.0,task,4.0,0.6968,5.0,0.0,10.0,61.0,0.0,immed,2.0,1.0,0.1248,1.8752,3.74967135,43.0,47.0,0.0,,,
987,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,63.0,task,4.0,0.43,5.0,0.0,4.0,31.0,0.0,immed,1.0,1.0,0.0827,1.9173,2.796194383,44.0,62.0,1.0,,,
988,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,52.0,task,4.0,0.5898,5.0,0.0,65.0,59.0,1.0,delay,2.0,0.0,0.0818,1.9182,2.144111437,45.0,51.0,0.0,,,
989,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,6.0,task,4.0,0.3823,15.0,0.0,21.0,31.0,0.0,immed,1.0,1.0,0.074,1.926,3.48418496,46.0,5.0,0.0,,,
990,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,16.0,task,4.0,0.3667,15.0,0.0,35.0,89.0,0.0,immed,1.0,1.0,0.1126,1.8874,2.234168893,47.0,15.0,0.0,,,
991,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,42.0,task,4.0,0.4144,5.0,0.0,65.0,10.0,1.0,delay,1.0,0.0,0.0315,1.9685,2.398780838,48.0,41.0,0.0,,,
