cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
2.0,0,65.0,2
2.0,0,65.0,7
2.0,0,65.0,15
2.0,0,65.0,94
2.0,0,65.0,180
2.0,0,65.0,2
2.0,0,65.0,3
2.0,0,65.0,6
2.0,0,65.0,9
2.0,0,65.0,2
2.0,0,65.0,7
2.0,0,65.0,15
2.0,0,65.0,94
2.0,0,65.0,180
2.0,0,65.0,2
2.0,0,65.0,3
2.0,0,65.0,6
2.0,0,65.0,9
2,0,60.5,7
2,0,28.0,2
2,0,34.5,3
2,0,54.0,6
2,0,52.0,2
2,0,64.5,3
1.0,0,5.0,7
5.0,0,20.0,7
10.0,0,40.0,7
0.5,0,5.0,15
2.5,0,20.0,15
5.5,0,40.0,15
0.5,0,5.0,94
0.5,0,20.0,94
1.0,0,40.0,94
0.5,0,5.0,180
0.5,0,20.0,180
0.5,0,40.0,180
2.5,0,5.0,2
10.5,0,20.0,2
21.5,0,40.0,2
2.0,0,5.0,3
8.5,0,20.0,3
17.5,0,40.0,3
1.5,0,5.0,6
5.5,0,20.0,6
11.0,0,40.0,6
1.0,0,5.0,9
4.0,0,20.0,9
8.0,0,40.0,9
29.0,0,65.0,7
47.5,0,65.0,2
41.0,0,65.0,3
30.5,0,65.0,6
26.0,0,65.0,9
41.5,0,65.0,7
60.0,0,65.0,2
53.5,0,65.0,3
43.5,0,65.0,6
38.5,0,65.0,9
54.0,0,65.0,7
56.0,0,65.0,6
51.0,0,65.0,9
64.0,0,65.0,9
64,0,65.0,7
64,0,65.0,15
64,0,65.0,94
64,0,65.0,180
64,0,65.0,2
64,0,65.0,3
64,0,65.0,6
64,0,65.0,9
64,0,65.0,7
64,0,65.0,15
64,0,65.0,94
64,0,65.0,180
64,0,65.0,2
64,0,65.0,3
64,0,65.0,6
64,0,65.0,9
2,0,60.5,7
2,0,52.0,2
2,0,60.5,7
2,0,52.0,2
2,0,28.0,2
2,0,64.5,3
2,0,34.5,3
2,0,52.0,2
2,0,54.0,6
2,0,52.0,2
2,0,60.5,7
2,0,52.0,2
2,0,60.5,7
2,0,52.0,2
2,0,60.5,7
2,0,52.0,2
2,0,60.5,7
2,0,52.0,2
29.0,0,65.0,7
54.0,0,65.0,7
41.5,0,65.0,7
64.0,0,65.0,9
